,word,positive,negative
1433,kanye,11,25
1434,unique,15,116
1435,thinks,15,25
1436,obama,7,22
1437,mostly,16,27
1438,themselves,15,26
1439,facts,51,24
1440,type,20,33
1441,football,26,24
1442,niggas,14,28
1443,cares,14,27
1444,moving,18,29
1445,horrible,13,32
1446,hurts,6,82
1447,movies,33,39
1448,asking,17,37
1449,fuckin,10,21
1450,ends,21,27
1451,respect,19,25
1452,gun,16,20
1453,deep,14,31
1454,era,15,21
1455,front,22,28
1456,@seanhannity,1,21
1457,liar,8,20
1458,depression,7,25
1459,gay,21,39
1460,tour,30,59
1461,americans,8,20
1462,stormy,6,14
1463,sold,17,43
1464,write,26,29
1465,corrie,0,21
1466,office,32,25
